Drug,INN,Date first registered by US FDA,Company or Companies,Indication,Currency,Years since 1st US FDA approval,,,2016,US as share of global sales,Medicare dashboard as share of US sales,Medicare dashboard as percent of global,Foreign currency for global sales,#NAME?,"Exchange rates, 2016",multiply by,divide by
Erivedge,vismodegib,2012-01-30,Genentech/Roche,Cancer: advanced basal cell carcinoma,CHF,9.9,,,203CHF,66%,65%,43%,F,,,,
Erivedge (US only),vismodegib,2012-01-30,Genentech/Roche,Cancer: advanced basal cell carcinoma,CHF,9.9,,,134CHF,,,,F,,,,
Erivedge (US only),vismodegib,2012-01-30,Genentech/Roche,Cancer: advanced basal cell carcinoma,USD,9.9,,,131CHF,,,,F,,,,
Erivedge (USA Medicare Part B),vismodegib,2012-01-30,Genentech/Roche,Cancer: advanced basal cell carcinoma,USD,9.9,,,,,,,F,,,,
Erivedge (USA Medicare Part D),vismodegib,2012-01-30,Genentech/Roche,Cancer: advanced basal cell carcinoma,USD,9.9,,,$85,,,,F,,,,
Fabrazyme,Agalsidase beta,2003-04-24,Genzyme,Fabry Disease,EUR,18.5,,,€674.00,51%,20%,10%,F,,,,
Fabrazyme (US only),Agalsidase beta,2003-04-24,Genzyme,Fabry Disease,EUR,18.5,,,€345.00,,,,F,,,,
Fabrazyme (US only),Agalsidase beta,2003-04-24,Genzyme,Fabry Disease,USD,18.5,,,$367,,,,F,,,,
Fabrazyme (USA Medicare Part B),Agalsidase beta,2003-04-24,Genzyme,Fabry Disease,USD,18.5,,,$58,,,,F,,,,
Fabrazyme (USA Medicare Part D),Agalsidase beta,2003-04-24,Genzyme,Fabry Disease,USD,18.5,,,$15,,,,F,,,,
Herceptin,trastuzumab,9/25/1998,Roche,Breast cancer,CHF,22.9,,,"CHF6,782",37%,27%,10%,F,,,,
Herceptin (US sales),trastuzumab,9/25/1998,Roche,Breast cancer,CHF,22.9,,,"CHF2,509",,,,F,,,,
Herceptin (US sales),trastuzumab,9/25/1998,Roche,Breast cancer,USD,22.9,,,"$2,669",,,,F,,,,
Herceptin (USA Medicare Part B),trastuzumab,9/25/1998,Roche,Breast cancer,USD,22.9,,,$15,,,,F,,,,
Herceptin (USA Medicare Part D),trastuzumab,9/25/1998,Roche,Breast cancer,USD,22.9,,,$704,,,,F,,,,
Kadcyla,ado-trastuzumab emtansine,2013-02-22,Roche,Breast cancer,CHF,8.9,,,831CHF,38%,37%,14%,F,,,,
Kadcyla (US only),ado-trastuzumab emtansine,2013-02-22,Roche,Breast cancer,CHF,8.9,,,316CHF,,,,F,,,,
Kadcyla (US only),ado-trastuzumab emtansine,2013-02-22,Roche,Breast cancer,USD,8.9,,,$308,,,,F,,,,
Kadcyla (USA Medicare Part B),ado-trastuzumab emtansine,2013-02-22,Roche,Breast cancer,USD,8.9,,,$113,,,,F,,,,
Kadcyla (USA Medicare Part D),ado-trastuzumab emtansine,2013-02-22,Roche,Breast cancer,USD,8.9,,,$2,,,,F,,,,
Lumizyme,Alglucosidase Alfa,2010-05-24,Sanofi Genzyme,Pompe disease,EUR,11.6,,,€725,33%,30%,10%,F,,,,
Lumizyme (US only),Alglucosidase Alfa,2010-05-24,Sanofi Genzyme,Pompe disease,EUR,11.6,,,€240,,,,F,,,,
Lumizyme (US only),Alglucosidase Alfa,2010-05-24,Sanofi Genzyme,Pompe disease,USD,11.6,,,$255,,,,F,,,,
Lumizyme (USA Medicare part B),Alglucosidase Alfa,2010-05-24,Sanofi Genzyme,Pompe disease,USD,11.6,,,$62,,,,F,,,,
Lumizyme (USA Medicare part D),Alglucosidase Alfa,2010-05-24,Sanofi Genzyme,Pompe disease,USD,11.6,,,$16,,,,F,,,,
Nexavar,Sorafenib,2005-12-01,Bayer Healthcare,Cancer: Hepatocellular carcinoma (HCC); renal cell carcinoma (RCC); thyroid carcinoma (DTC),EUR,15.9,,,€870.00,36%,65%,23%,F,,,,
Nexavar (US only),Sorafenib,2005-12-01,Bayer Healthcare,Cancer: Hepatocellular carcinoma (HCC); renal cell carcinoma (RCC); thyroid carcinoma (DTC),EUR,15.9,,,€312.00,,,,F,,,,
Nexavar (US only),Sorafenib,2005-12-01,Bayer Healthcare,Cancer: Hepatocellular carcinoma (HCC); renal cell carcinoma (RCC); thyroid carcinoma (DTC),USD,15.9,,,$332,,,,F,,,,
Nexavar (USA Medicare Part B),Sorafenib,2005-12-01,Bayer Healthcare,Cancer: Hepatocellular carcinoma (HCC); renal cell carcinoma (RCC); thyroid carcinoma (DTC),USD,15.9,,,$0,,,,F,,,,
Nexavar (USA Medicare Part D),Sorafenib,2005-12-01,Bayer Healthcare,Cancer: Hepatocellular carcinoma (HCC); renal cell carcinoma (RCC); thyroid carcinoma (DTC),USD,15.9,,,$214,,,,F,,,,
Perjeta,Pertuzumab,2012-06-08,Genentech,Cancer: HER2-positive breast cancer,CHF,9.6,,,"CHF1,846",49%,23%,11%,F,,,,
Perjeta (US Sales),Pertuzumab,2012-06-08,Genentech,Cancer: HER2-positive breast cancer,CHF,9.6,,,CHF905,,,,F,,,,
Perjeta (US Sales),Pertuzumab,2012-06-08,Genentech,Cancer: HER2-positive breast cancer,USD,9.6,,,$883,,,,F,,,,
Perjeta (USA Medicare Part B),Pertuzumab,2012-06-08,Genentech,Cancer: HER2-positive breast cancer,USD,9.6,,,$201,,,,F,,,,
Perjeta (USA Medicare Part D),Pertuzumab,2012-06-08,Genentech,Cancer: HER2-positive breast cancer,USD,9.6,,,$4,,,,F,,,,
Rituxan,Rituximab,1997-11-26,Genentech (Roche)/Biogen IDEC,Cancer: non-Hodgkin’s lymphoma; chronic lymphocytic leukemia,CHF,23.7,,,"CHF7,300",54%,45%,24%,F,,,,
Rituxan (US only),Rituximab,1997-11-26,Genentech (Roche)/Biogen IDEC,Cancer: non-Hodgkin’s lymphoma; chronic lymphocytic leukemia,CHF,23.7,,,"CHF3,911",,,,F,,,,
Rituxan (US only),Rituximab,1997-11-26,Genentech (Roche)/Biogen IDEC,Cancer: non-Hodgkin’s lymphoma; chronic lymphocytic leukemia,USD,23.7,,,"$3,816",,,,F,,,,
Rituxan (USA Medicare Part B),Rituximab,1997-11-26,Genentech (Roche)/Biogen IDEC,Cancer: non-Hodgkin’s lymphoma; chronic lymphocytic leukemia,USD,23.7,,,"$1,666",,,,F,,,,
Rituxan (USA Medicare Part D),Rituximab,1997-11-26,Genentech (Roche)/Biogen IDEC,Cancer: non-Hodgkin’s lymphoma; chronic lymphocytic leukemia,USD,23.7,,,$45,,,,F,,,,
Tresiba,Insulin Degludec,2015-09-25,Novo Nordisk,Diabetes,DKK,6.4,,,"4,056.00 kr.",55%,9%,5%,F,,,,
Tresiba (US only),Insulin Degludec,2015-09-25,Novo Nordisk,Diabetes,DKK,6.4,,,"2,246.00 kr.",,,,F,,,,
Tresiba (US only),Insulin Degludec,2015-09-25,Novo Nordisk,Diabetes,USD,6.4,,,$321,,,,F,,,,
Tresiba (USA Medicare Part B),Insulin Degludec,2015-09-25,Novo Nordisk,Diabetes,USD,6.4,,,$0,,,,F,,,,
Tresiba Flextouch U-100 (USA Medicare Part D),Insulin Degludec,2015-09-25,Novo Nordisk,Diabetes,USD,6.4,,,$28,,,,F,,,,
Tresiba Flextouch U-200 (USA Medicare Part D),Insulin Degludec,2015-09-25,Novo Nordisk,Diabetes,USD,6.4,,,$112,,,,F,,,,
Xolair,Omalizumab ,2003-06-20,Genentech/Roche,Asthma and chronic idiopathic urticaria,CHF,18.3,,,"1,498CHF",100%,27%,27%,F,,,,
Xolair (US only),Omalizumab ,2003-06-20,Genentech/Roche,Asthma and chronic idiopathic urticaria,CHF,18.3,,,"1,498CHF",,,,F,,,,
Xolair (US only),Omalizumab ,2003-06-20,Genentech/Roche,Asthma and chronic idiopathic urticaria,USD,18.3,,,"$1,521",,,,F,,,,
Xolair (USA Medicare Part B),Omalizumab ,2003-06-20,Genentech/Roche,Asthma and chronic idiopathic urticaria,USD,18.3,,,$328,,,,F,,,,
Xolair (USA Medicare Part D),Omalizumab ,2003-06-20,Genentech/Roche,Asthma and chronic idiopathic urticaria,USD,18.3,,,$79,,,,F,,,,
Zelboraf,Vemurafenib,2011-08-17,Hoffman-La Roche,Cancer: Melanoma,CHF,10.4,,,CHF213,22%,40%,9%,F,,,,
Zelboraf (US only),Vemurafenib,2011-08-17,Hoffman-La Roche,Cancer: Melanoma,CHF,10.4,,,CHF47,,,,F,,,,
Zelboraf (US only),Vemurafenib,2011-08-17,Hoffman-La Roche,Cancer: Melanoma,USD,10.4,,,$46,,,,F,,,,
Zelboraf (USA Medicare Part B),Vemurafenib,2011-08-17,Hoffman-La Roche,Cancer: Melanoma,USD,10.4,,,$0,,,,F,,,,
Zelboraf (USA Medicare Part D),Vemurafenib,2011-08-17,Hoffman-La Roche,Cancer: Melanoma,USD,10.4,,,$18,,,,F,,,,
Afinitor,Everolimus,2009-03-30,Novartis,Cancer: Breast/Kidney/Pancreatic; Advanced GI/Lung NET; Renal Angiomyolipoma With Tuberous Sclerosis Complex; SEGA With Tuberous Sclerosis Complex,USD,12.7,,,"$1,516",51%,45%,23%,,,,,
Afinitor (US only),Everolimus,2009-03-30,Novartis,Cancer: Breast/Kidney/Pancreatic; Advanced GI/Lung NET; Renal Angiomyolipoma With Tuberous Sclerosis Complex; SEGA With Tuberous Sclerosis Complex,USD,12.7,,,$775,,,,,,,,
Afinitor (USA Medicare part B),Everolimus,2009-03-30,Novartis,Cancer: Breast/Kidney/Pancreatic; Advanced GI/Lung NET; Renal Angiomyolipoma With Tuberous Sclerosis Complex; SEGA With Tuberous Sclerosis Complex,USD,12.7,,,$0,,,,,,,,
Afinitor (USA Medicare part D),Everolimus,2009-03-30,Novartis,Cancer: Breast/Kidney/Pancreatic; Advanced GI/Lung NET; Renal Angiomyolipoma With Tuberous Sclerosis Complex; SEGA With Tuberous Sclerosis Complex,USD,12.7,,,$347,,,,,,,,
Alimta,pemetrexed,2004-02-04,Eli Lilly,Cancer: Advanced nonsquamous non-small Cell Lung Cancer (NSCLC),USD,17.7,,,"$2,283",48%,47%,23%,,,,,
Alimta (US only),pemetrexed,2004-02-04,Eli Lilly,Cancer: Advanced nonsquamous non-small Cell Lung Cancer (NSCLC),USD,17.7,,,"$1,101",,,,,,,,
Alimta (USA Medicare Part B),pemetrexed,2004-02-04,Eli Lilly,Cancer: Advanced nonsquamous non-small Cell Lung Cancer (NSCLC),USD,17.7,,,$512,,,,,,,,
Alimta (USA Medicare Part D),pemetrexed,2004-02-04,Eli Lilly,Cancer: Advanced nonsquamous non-small Cell Lung Cancer (NSCLC),USD,17.7,,,$8,,,,,,,,
Atripla,efavirenz/emtricitabine/tenofovir,2006-07-12,Gilead,HIV,USD,15.3,,,"$2,605",73%,28%,20%,,,,,
Atripla (US only),efavirenz/emtricitabine/tenofovir,2006-07-12,Gilead,HIV,USD,15.3,,,"$1,898",,,,,,,,
Atripla (USA Medicare Part B),efavirenz/emtricitabine/tenofovir,2006-07-12,Gilead,HIV,USD,15.3,,,$0,,,,,,,,
Atripla (USA Medicare Part D),efavirenz/emtricitabine/tenofovir,2006-07-12,Gilead,HIV,USD,15.3,,,$533,,,,,,,,
Avonex,interferon beta-1a,1996-05-17,Biogen,MS,USD,25.2,,,"$2,314",72%,18%,13%,,,,,
Avonex (US only),interferon beta-1a,1996-05-17,Biogen,MS,USD,25.2,,,"$1,675",,,,,,,,
Avonex (USA Medicare Part B),interferon beta-1a,1996-05-17,Biogen,MS,USD,25.2,,,$5,,,,,,,,
Avonex (USA Medicare Part D),interferon beta-1a,1996-05-17,Biogen,MS,USD,25.2,,,$295,,,,,,,,
Brilinta,ticagrelor,2011-07-20,AstraZeneca,Acute coronary syndrome,USD,10.4,,,$839,41%,59%,25%,,,,,
Brilinta (US only),ticagrelor,2011-07-20,AstraZeneca,Acute coronary syndrome,USD,10.4,,,$348,,,,,,,,
Brilinta (USA Medicare Part B),ticagrelor,2011-07-20,AstraZeneca,Acute coronary syndrome,USD,10.4,,,$0,,,,,,,,
Brilinta (USA Medicare Part D),ticagrelor,2011-07-20,AstraZeneca,Acute coronary syndrome,USD,10.4,,,$206,,,,,,,,
Complera/Eviplera,Emtricitabine; Rilviprine Hydrochloride; Tenofovir Disoproxil Fumarate ,2011-08-10,Gilead,HIV,USD,10.4,,,"$1,457",56%,21%,12%,,,,,
Complera/Eviplera (US only),Emtricitabine; Rilviprine Hydrochloride; Tenofovir Disoproxil Fumarate ,2011-08-10,Gilead,HIV,USD,10.4,,,$821,,,,,,,,
Complera/Eviplera (USA Medicare part B),Emtricitabine; Rilviprine Hydrochloride; Tenofovir Disoproxil Fumarate ,2011-08-10,Gilead,HIV,USD,10.4,,,$0,,,,,,,,
Complera/Eviplera (USA Medicare part D),Emtricitabine; Rilviprine Hydrochloride; Tenofovir Disoproxil Fumarate ,2011-08-10,Gilead,HIV,USD,10.4,,,$173,,,,,,,,
Copaxone,glatiramer acetate,1996-12-20,Teva Pharmaceuticals,MS,USD,24.6,,,"$4,223",83%,41%,34%,,,,,
Copaxone (US only),glatiramer acetate,1996-12-20,Teva Pharmaceuticals,MS,USD,24.6,,,"$3,500",,,,,,,,
Copaxone (USA Medicare Part B),glatiramer acetate,1996-12-20,Teva Pharmaceuticals,MS,USD,24.6,,,$0,,,,,,,,
Copaxone (USA Medicare Part D),glatiramer acetate,1996-12-20,Teva Pharmaceuticals,MS,USD,24.6,,,"$1,434",,,,,,,,
Cymbalta,duloxetine hydrochloride,2004-08-03,Lilly,Major Depressive Disorder,USD,17.2,,,$931,29%,11%,3%,,,,,
Cymbalta (US only),duloxetine hydrochloride,2004-08-03,Lilly,Major Depressive Disorder,USD,17.2,,,$269,,,,,,,,
Cymbalta (USA Medicare Part B),duloxetine hydrochloride,2004-08-03,Lilly,Major Depressive Disorder,USD,17.2,,,$0,,,,,,,,
Cymbalta (USA Medicare Part D),duloxetine hydrochloride,2004-08-03,Lilly,Major Depressive Disorder,USD,17.2,,,$30,,,,,,,,
Daklinza,daclatasvir dihydrochloride,2015-07-24,Bristol-Myers Squibb (BMS),HCV,USD,6.5,,,"$1,550",,,25%,,,,,
Daklinza (US only),daclatasvir dihydrochloride,2015-07-24,Bristol-Myers Squibb (BMS),HCV,USD,6.5,,,,,,,,,,,
Daklinza (USA Medicare Part B),daclatasvir dihydrochloride,2015-07-24,Bristol-Myers Squibb (BMS),HCV,USD,6.5,,,$0,,,,,,,,
Daklinza (USA Medicare Part D),daclatasvir dihydrochloride,2015-07-24,Bristol-Myers Squibb (BMS),HCV,USD,6.5,,,$391,,,,,,,,
Descovy,emtricitabine; tenofovir alafenamide fumarate,2016-04-04,Gilead,HIV,USD,5.9,,,$298,76%,0%,0%,,,,,
Descovy (US only),emtricitabine; tenofovir alafenamide fumarate,2016-04-04,Gilead,HIV,USD,5.9,,,$226,,,,,,,,
Descovy (USA Medicare Part B),emtricitabine; tenofovir alafenamide fumarate,2016-04-04,Gilead,HIV,USD,5.9,,,$0,,,,,,,,
Descovy (USA Medicare Part D),emtricitabine; tenofovir alafenamide fumarate,2016-04-04,Gilead,HIV,USD,5.9,,,$0,,,,,,,,
Edurant,rilpivirine hydrochloride,2011-05-20,Janssen Pharmaceutica (acquired by Johnson and Johnson),HIV,USD,10.6,,,$573,9%,51%,5%,,,,,
Edurant (US only),rilpivirine hydrochloride,2011-05-20,Janssen Pharmaceutica (acquired by Johnson and Johnson),HIV,USD,10.6,,,$52,,,,,,,,
Edurant (USA Medicare Part B),rilpivirine hydrochloride,2011-05-20,Janssen Pharmaceutica (acquired by Johnson and Johnson),HIV,USD,10.6,,,$0,,,,,,,,
Edurant (USA Medicare Part D),rilpivirine hydrochloride,2011-05-20,Janssen Pharmaceutica (acquired by Johnson and Johnson),HIV,USD,10.6,,,$26,,,,,,,,
Enbrel,Etanercept,1998-11-02,Amgen,Rheumatoid Arthritics; Plaque Psoriasis; Psoriaric Arthritics; Ankylosing Spondylitisl Juvenile Idiopathic Arthritis,USD,22.8,,,"$5,965",96%,27%,26%,,,,,
Enbrel (US only),Etanercept,1998-11-02,Amgen,Rheumatoid Arthritics; Plaque Psoriasis; Psoriaric Arthritics; Ankylosing Spondylitisl Juvenile Idiopathic Arthritis,USD,22.8,,,"$5,719",,,,,,,,
Enbrel (USA Medicare part B),Etanercept,1998-11-02,Amgen,Rheumatoid Arthritics; Plaque Psoriasis; Psoriaric Arthritics; Ankylosing Spondylitisl Juvenile Idiopathic Arthritis,USD,22.8,,,$0,,,,,,,,
Enbrel (USA Medicare part D),Etanercept,1998-11-02,Amgen,Rheumatoid Arthritics; Plaque Psoriasis; Psoriaric Arthritics; Ankylosing Spondylitisl Juvenile Idiopathic Arthritis,USD,22.8,,,"$1,572",,,,,,,,
Epclusa ,sofosbuvir; velpatasvir,2016-06-28,Gilead,HCV,USD,5.6,,,"$1,752",91%,0%,0%,,,,,
Epclusa (US only),sofosbuvir; velpatasvir,2016-06-28,Gilead,HCV,USD,5.6,,,"$1,591",,,,,,,,
Epclusa (USA Medicare Part B),sofosbuvir; velpatasvir,2016-06-28,Gilead,HCV,USD,5.6,,,$0,,,,,,,,
Epclusa (USA Medicare Part D),sofosbuvir; velpatasvir,2016-06-28,Gilead,HCV,USD,5.6,,,$0,,,,,,,,
EpiPen,,,Mylan,,USD,,,,,,13%,,,,,,
EpiPen (US only),,,Mylan,,USD,,,,"$1,268",,,,,,,,
EpiPen (USA Medicare Part B),,,Mylan,,USD,,,,0,,,,,,,,
EpiPen (USA Medicare Part D),,,Mylan,,USD,,,,$166,,,,,,,,
Gilenya,Fingolimod,2010-09-21,Novartis,MS,USD,11.3,,,"$2,776",61%,26%,16%,,,,,
Gilenya (US only),Fingolimod,2010-09-21,Novartis,MS,USD,11.3,,,"$1,683",,,,,,,,
Gilenya (USA Medicare Part B),Fingolimod,2010-09-21,Novartis,MS,USD,11.3,,,$0,,,,,,,,
Gilenya (USA Medicare Part D),Fingolimod,2010-09-21,Novartis,MS,USD,11.3,,,$430,,,,,,,,
Gleevec/Glivec,Imatinib,2003-04-18,Novartis,Cancer: Leukemia,USD,18.5,,,"$3,323",37%,63%,23%,,,,,
Gleevec/Glivec (US only),Imatinib,2003-04-18,Novartis,Cancer: Leukemia,USD,18.5,,,"$1,214",,,,,,,,
Gleevec/Glivec (USA Medicare part B),Imatinib,2003-04-18,Novartis,Cancer: Leukemia,USD,18.5,,,$0,,,,,,,,
Gleevec/Glivec (USA Medicare part D),Imatinib,2003-04-18,Novartis,Cancer: Leukemia,USD,18.5,,,$763,,,,,,,,
Harvoni,Ledipasvir; Sofosbuvir,2014-10-10,Gilead,HCV,USD,7.3,,,"$9,081",54%,89%,48%,,,,,
Harvoni (US only),Ledipasvir; Sofosbuvir,2014-10-10,Gilead,HCV,USD,7.3,,,"$4,941",,,,,,,,
Harvoni (USA Medicare Part B),Ledipasvir; Sofosbuvir,2014-10-10,Gilead,HCV,USD,7.3,,,$0,,,,,,,,
Harvoni (USA Medicare Part D),Ledipasvir; Sofosbuvir,2014-10-10,Gilead,HCV,USD,7.3,,,"$4,400",,,,,,,,
Humalog,Insulin Lispro Recombinant,6/14/1996,Eli Lilly,Diabetes,USD,25.1,,,"$2,769",61%,38%,23%,,,,,
Humalog (US only),Insulin Lispro Recombinant,6/14/1996,Eli Lilly,Diabetes,USD,25.1,,,"$1,685",,,,,,,,
Humalog (USA Medicare Part B),Insulin Lispro Recombinant,6/14/1996,Eli Lilly,Diabetes,USD,25.1,,,$23,,,,,,,,
Humalog (USA Medicare Part D),Insulin Lispro Recombinant,6/14/1996,Eli Lilly,Diabetes,USD,25.1,,,$624,,,,,,,,
Humira,adalimumab,2002-12-31,Abbvie,"Rheumatoid arthritis (initial indication, now many more)",USD,18.8,,,"$16,078",65%,21%,14%,,,,,
Humira (US only),adalimumab,2002-12-31,Abbvie,"Rheumatoid arthritis (initial indication, now many more)",USD,18.8,,,"$10,432",,,,,,,,
Humira (USA Medicare part B),adalimumab,2002-12-31,Abbvie,"Rheumatoid arthritis (initial indication, now many more)",USD,18.8,,,$0,,,,,,,,
Humira (USA Medicare part D),adalimumab,2002-12-31,Abbvie,"Rheumatoid arthritis (initial indication, now many more)",USD,18.8,,,"$2,198",,,,,,,,
Ibrance,Palbociclib,2015-02-03,Pfizer,Cancer: Breast cancer,USD,7.0,,,"$2,135",97%,48%,47%,,,,,
Ibrance (US only),Palbociclib,2015-02-03,Pfizer,Cancer: Breast cancer,USD,7.0,,,"$2,068",,,,,,,,
Ibrance (USA Medicare Part B),Palbociclib,2015-02-03,Pfizer,Cancer: Breast cancer,USD,7.0,,,0,,,,,,,,
Ibrance (USA Medicare Part D),Palbociclib,2015-02-03,Pfizer,Cancer: Breast cancer,USD,7.0,,,$995,,,,,,,,
Inlyta,Axitinib,2012-01-27,P.F. Prism C.V./Pfizer,Cancer: Kidney ,USD,9.9,,,$401,40%,45%,18%,,,,,
Inlyta (US only),Axitinib,2012-01-27,P.F. Prism C.V./Pfizer,Cancer: Kidney ,USD,9.9,,,$161,,,,,,,,
Inlyta (USA Medicare Part B),Axitinib,2012-01-27,P.F. Prism C.V./Pfizer,Cancer: Kidney ,USD,9.9,,,$0,,,,,,,,
Inlyta (USA Medicare Part D),Axitinib,2012-01-27,P.F. Prism C.V./Pfizer,Cancer: Kidney ,USD,9.9,,,$73,,,,,,,,
Invokana,Canagliflozin,2013-03-29,Janssen Pharms,Diabetes,USD,8.8,,,"$1,407",90%,48%,43%,,,,,
Invokana (US only),Canagliflozin,2013-03-29,Janssen Pharms,Diabetes,USD,8.8,,,"$1,273",,,,,,,,
Invokana (USA Medicare Part B),Canagliflozin,2013-03-29,Janssen Pharms,Diabetes,USD,8.8,,,$0,,,,,,,,
Invokana (USA Medicare Part D),Canagliflozin,2013-03-29,Janssen Pharms,Diabetes,USD,8.8,,,$609,,,,,,,,
Kalydeco,Ivacaftor,2012-01-31,Vertex Pharmaceuticals ,CF,USD,9.9,,,$703,,,5%,,,,,
Kalydeco (US only),Ivacaftor,2012-01-31,Vertex Pharmaceuticals ,CF,USD,9.9,,,,,,,,,,,
Kalydeco (USA Medicare part B),Ivacaftor,2012-01-31,Vertex Pharmaceuticals ,CF,USD,9.9,,,$0,,,,,,,,
Kalydeco (USA Medicare part D),Ivacaftor,2012-01-31,Vertex Pharmaceuticals ,CF,USD,9.9,,,$32,,,,,,,,
Keytruda,Pembrolizumab,2014-09-04,Merck,Cancer,USD,7.4,,,"$1,402",56%,1%,0%,,,,,
Keytruda (US only),Pembrolizumab,2014-09-04,Merck,Cancer,USD,7.4,,,$792,,,,,,,,
Keytruda (USA Medicare part B),Pembrolizumab,2014-09-04,Merck,Cancer,USD,7.4,,,$0,,,,,,,,
Keytruda (USA Medicare part D),Pembrolizumab,2014-09-04,Merck,Cancer,USD,7.4,,,$4,,,,,,,,
Orkambi,IVACAFTOR; LUMACAFTOR,2015-07-02,Vertex Pharmaceuticals ,CF,USD,6.6,,,$980,92%,9%,8%,,,,,
Orkambi (US only),IVACAFTOR; LUMACAFTOR,2015-07-02,Vertex Pharmaceuticals ,CF,USD,6.6,,,$899,,,,,,,,
Orkambi (USA Medicare Part B),IVACAFTOR; LUMACAFTOR,2015-07-02,Vertex Pharmaceuticals ,CF,USD,6.6,,,$0,,,,,,,,
Orkambi (USA Medicare Part D),IVACAFTOR; LUMACAFTOR,2015-07-02,Vertex Pharmaceuticals ,CF,USD,6.6,,,$78,,,,,,,,
Remicade,Infliximab,1998-08-24,Janssen,"Crohn's disease; pediatric Crohn's disease; ulcerative colitis; rheumatoid arthritis, psoriatic arthritis; Ankylosing spondylitis; plaque psoriasis",USD,23.0,,,"$6,966",70%,29%,20%,,,,,
Remicade (US only),Infliximab,1998-08-24,Janssen,"Crohn's disease; pediatric Crohn's disease; ulcerative colitis; rheumatoid arthritis, psoriatic arthritis; Ankylosing spondylitis; plaque psoriasis",USD,23.0,,,"$4,842",,,,,,,,
Remicade (USA Medicare part B),Infliximab,1998-08-24,Janssen,"Crohn's disease; pediatric Crohn's disease; ulcerative colitis; rheumatoid arthritis, psoriatic arthritis; Ankylosing spondylitis; plaque psoriasis",USD,23.0,,,"$1,339",,,,,,,,
Remicade (USA Medicare part D),Infliximab,1998-08-24,Janssen,"Crohn's disease; pediatric Crohn's disease; ulcerative colitis; rheumatoid arthritis, psoriatic arthritis; Ankylosing spondylitis; plaque psoriasis",USD,23.0,,,$68,,,,,,,,
Revlimid,Lenalidomide,2005-12-27,Celgene,Cancer,USD,15.9,,,"$6,974",63%,60%,38%,,,,,
Revlimid (US only),Lenalidomide,2005-12-27,Celgene,Cancer,USD,15.9,,,"$4,417",,,,,,,,
Revlimid (USA Medicare Part B),Lenalidomide,2005-12-27,Celgene,Cancer,USD,15.9,,,$0,,,,,,,,
Revlimid (USA Medicare Part D),Lenalidomide,2005-12-27,Celgene,Cancer,USD,15.9,,,"$2,662",,,,,,,,
Soliris,eculizumab paroxysmal nocturnal hemoglobinuria,2007-03-16,Alexion,PNH; aHUS,USD,14.7,,,"$2,843",37%,27%,10%,,,,,
Soliris (US only),eculizumab paroxysmal nocturnal hemoglobinuria,2007-03-16,Alexion,PNH; aHUS,USD,14.7,,,"$1,059",,,,,,,,
Soliris (USA Medicare Part B),eculizumab paroxysmal nocturnal hemoglobinuria,2007-03-16,Alexion,PNH; aHUS,USD,14.7,,,$267,,,,,,,,
